CodGeracaoDistribuida;NomTitularEmpreendimento;SigUF;NomMunicipio;CodMunicipioIbge;DscFonteGeracao;DscClasseConsumo;SigTipoConsumidor;DscPorte;MdaPotenciaInstaladaKW;DatConexao;NumCoordNEmpreendimento;NumCoordEEmpreendimento
;***;MG;Carmo do Paranaíba;3114303;Biogás - RA;Rural;PF;Microgeracao;75,00;;-18,95;-46,31
;***;MG;Uberlândia;3170206;Biogás - RA;Rural;PF;Microgeracao;75,00;;-18,84;-48,58
;***;MG;Corinto;3119104;Biogás - RA;Rural;PF;Microgeracao;75,00;;-18,29;-44,37
;INSTITUTO DE ADMINIST & GESTAO EDUC;MG;Araguari;3103504;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-18,59;-48,29
;CONSORCIO ORIGO ENERGIA SERRA DO CIPO;MG;Santana do Paraíso;3158953;Biogás - RA;Comercial;PJ;Minigeracao;1000,00;;-19,44;-42,51
;***;MG;Uberaba;3170107;Biogás - RU;Rural;PF;Microgeracao;74,40;;-19,41;-48,38
;***;MG;Uberaba;3170107;Biogás - RA;Rural;PF;Microgeracao;74,40;;-19,39;-48,37
;***;MG;Jequeri;3135506;Biogás - RU;Rural;PF;Microgeracao;74,40;;-20,41;-42,66
;***;MG;Uberlândia;3170206;Biogás - RU;Rural;PF;Microgeracao;74,40;;-18,85;-48,58
;***;MG;Morada Nova de Minas;3143500;Biogás - RU;Rural;PF;Minigeracao;130,00;;-18,86;-45,27
;***;MG;São João da Ponte;3162401;Biogás - RU;Rural;PF;Minigeracao;200,00;;-15,99;-43,69
;***;MG;São Gonçalo do Sapucaí;3162005;Biogás - RA;Rural;PF;Microgeracao;75,00;;-21,87;-45,67
;***;MG;São José da Varginha;3163102;Biogás - RU;Rural;PF;Microgeracao;67,50;;-19,74;-44,55
;***;MG;Urucânia;3170503;Biogás - RU;Rural;PF;Microgeracao;75,00;;-20,32;-42,71
;***;MG;Machado;3139003;Biogás - RU;Rural;PF;Microgeracao;75,00;;-21,64;-46,03
;***;MG;Piedade de Ponte Nova;3150208;Biogás - RU;Rural;PF;Microgeracao;75,00;;-20,24;-42,74
;***;MG;Coromandel;3119302;Biogás - RA;Rural;PF;Minigeracao;200,00;;-18,61;-47,06
